"challenge","username","money","leaderboard_categories","leaderboard_date","community"
"1324","abhar","250.0","Salesforce.com,Other,","2011-12-15",""
"1279","abhar","250.0","Salesforce.com,","2011-12-05",""
"1329","abhar","1500.0","salesforce.com, other, mobile","2011-12-29",""
"1195","abhartiya","250.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1130","acerbetti","750.0","Salesforce.com,Mobile,","2011-06-29",""
"1129","acerbetti","1250.0","Salesforce.com,Mobile,","2011-07-01",""
"1089","acorv","500.0","Twilio,Other,","2011-05-12",""
"1082","acorv","600.0","Salesforce.com,Heroku,AWS,Google,","2011-05-12",""
"1423","adrienjarthon","250.0","google","2012-05-11",""
"1368","agentgill","200.0","salesforce.com","2012-02-21",""
"1168","agentgill","250.0","Salesforce.com,","2011-08-24",""
"1378","ahmedbhaila","500.0","box, twilio, mobile","2012-03-09",""
"1384","ahmedbhaila","250.0","salesforce.com, cloud foundry, heroku","2012-03-09","cloudfoundry"
"1408","ahmedbhaila","1750.0","box, ios, android, mobile","2012-04-05",""
"1511","ahmedbhaila","1000.0","google","2012-06-06",""
"1452","ahmedbhaila","250.0","google, other","2012-05-21",""
"1501","ahmedbhaila","250.0","cloud foundry, java, heroku, google","2012-05-25","cloudfoundry"
"1456","ahmedbhaila","150.0","java, salesforce.com, heroku","2012-05-02",""
"1067","Aiias","500.0","Google,Salesforce.com,AWS,Heroku,Node.JS,","2011-03-15",""
"1508","ajayhada","100.0","","",""
"1223","ajzam","25.0","Salesforce.com,Other,","2011-11-16",""
"1185","akkishore","250.0","Heroku,AWS,Google,Cloud Foundry,","2011-09-23","cloudfoundry"
"1521","akkishore","1250.0","google","2012-06-04",""
"1201","akkishore","200.0","Mobile,","2011-10-17",""
"1204","akkishore","750.0","Other,","2011-10-12",""
"1211","akkishore","500.0","Java,Cloud Foundry,Ruby,","2011-10-20","cloudfoundry"
"1195","akkishore","250.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1203","akkishore","300.0","Google,","2011-10-20",""
"1220","akkishore","1750.0","Heroku,Ruby,Cloud Foundry,","2011-11-02","cloudfoundry"
"1218","akkishore","1000.0","Google,AWS,","2011-11-21",""
"1225","akkishore","500.0","Google,","2011-11-21",""
"1215","akkishore","750.0","Mobile,Other,","2011-11-28",""
"1277","akkishore","2500.0","Google,Other,","2011-12-01",""
"1127","akkishore","1000.0","Google,","2011-06-30",""
"1164","akkishore","750.0","Salesforce.com,Heroku,","2011-08-18",""
"1333","akkishore","2000.0","mobile","2012-01-10",""
"1379","akkishore","1000.0","mobile, box","2012-03-09",""
"1341","akkishore","2000.0","other","2012-01-20",""
"1354","akkishore","500.0","node.js","2012-01-31",""
"1365","akkishore","1000.0","box","2012-02-15",""
"1405","akkishore","200.0","box","2012-04-05",""
"1408","akkishore","500.0","box, ios, android, mobile","2012-04-05",""
"1452","akkishore","200.0","google, other","2012-05-21",""
"1493","akkishore","100.0","javascript","2012-05-22",""
"1198","akkishore","250.0","Heroku,Ruby,Cloud Foundry,","2011-09-30","cloudfoundry"
"1496","alfongj","1250.0","javascript","2012-06-01",""
"1418","almopeluche","25.0","","",""
"1477","almopeluche","250.0","salesforce.com, javascript","2012-05-07",""
"1368","almopeluche","200.0","salesforce.com","2012-02-21",""
"1419","almopeluche","750.0","javascript, salesforce.com","2012-04-05",""
"1426","ammonia","350.0","salesforce.com","2012-04-11",""
"1464","ammonia","500.0","salesforce.com","2012-05-09",""
"1509","ammonia","150.0","salesforce.com","2012-06-08",""
"1526","ammonia","250.0","salesforce.com","2012-06-05",""
"1517","ammonia","1000.0","salesforce.com","2012-06-05",""
"1329","andyj24","500.0","salesforce.com, other, mobile","2011-12-29",""
"1276","andymahood","1200.0","Salesforce.com,","2011-12-08",""
"1419","antenna","200.0","javascript, salesforce.com","2012-04-05",""
"1422","antenna","1000.0","salesforce.com","2012-04-04",""
"1438","antenna","150.0","salesforce.com","2012-04-06",""
"1500","antenna","250.0","javascript","2012-05-29",""
"1429","antenna","300.0","salesforce.com","2012-04-16",""
"1475","antenna","250.0","salesforce.com","2012-04-30",""
"1434","antenna","250.0","salesforce.com","2012-04-26",""
"1477","antenna","500.0","salesforce.com, javascript","2012-05-07",""
"1482","antenna","250.0","salesforce.com","2012-05-14",""
"1478","antenna","500.0","salesforce.com","2012-05-18",""
"1495","antenna","200.0","javascript","2012-05-30",""
"1412","antenna","1000.0","salesforce.com","2012-04-03",""
"1401","antenna","1000.0","salesforce.com","2012-03-12",""
"1439","antenna","750.0","java, google","2012-04-16",""
"1425","ARechitsky","100.0","","",""
"1105","Arvind","500.0","Salesforce.com,","2011-05-20",""
"1161","Arvind","500.0","Salesforce.com,Other,","2011-08-17",""
"1223","ashu15oc","25.0","Salesforce.com,Other,","2011-11-16",""
"1217","aslambari","1500.0","Salesforce.com,","2011-10-28",""
"1501","atimb","1000.0","cloud foundry, java, heroku, google","2012-05-25","cloudfoundry"
"1409","audaciousdev","750.0","javascript, salesforce.com","2012-03-28",""
"1467","Autobat","100.0","","",""
"1330","avidev9","500.0","Salesforce.com,","2011-12-13",""
"1319","avidev9","250.0","Salesforce.com,","2011-12-13",""
"1325","avidev9","250.0","Salesforce.com,","2011-12-13",""
"1374","avidev9","150.0","salesforce.com","2012-03-01",""
"1326","avidev9","500.0","Salesforce.com,","2011-12-15",""
"1324","avidev9","1750.0","Salesforce.com,Other,","2011-12-15",""
"1237","avidev9","1000.0","Salesforce.com,","2011-12-14",""
"1236","avidev9","750.0","Salesforce.com,","2011-11-18",""
"1322","avidev9","1000.0","Heroku,AWS,Google,Salesforce.com,Other,Cloud Foundry,","2011-12-08","cloudfoundry"
"1278","avidev9","2000.0","Salesforce.com,Other,","2011-11-28",""
"1238","avidev9","1000.0","Salesforce.com,","2011-11-28",""
"1334","avidev9","1250.0","other, salesforce.com","2012-01-12",""
"1385","avidev9","250.0","salesforce.com","2012-03-09",""
"1400","avidev9","100.0","salesforce.com","2012-03-21",""
"1349","avidev9","1000.0","salesforce.com","2012-01-19",""
"1345","avidev9","750.0","salesforce.com, javascript, google","2012-01-20",""
"1344","avidev9","1500.0","javascript, salesforce.com","2012-01-20",""
"1358","avidev9","500.0","salesforce.com","2012-02-02",""
"1361","avidev9","200.0","salesforce.com","2012-02-06",""
"1438","avidev9","250.0","salesforce.com","2012-04-06",""
"1449","avidev9","500.0","node.js, salesforce.com, java, ruby","2012-05-02",""
"1482","avidev9","500.0","salesforce.com","2012-05-14",""
"1478","avidev9","1200.0","salesforce.com","2012-05-18",""
"1486","avidev9","750.0","salesforce.com","2012-05-18",""
"1487","avidev9","750.0","salesforce.com","2012-05-17",""
"1507","avidev9","1000.0","html5, salesforce.com, mobile, ios","2012-06-01",""
"1232","botoscloud","50.0","Salesforce.com,","2011-11-16",""
"1418","buster84","100.0","","",""
"1464","chetanpg59","250.0","salesforce.com","2012-05-09",""
"1429","chetanpg59","600.0","salesforce.com","2012-04-16",""
"1456","chetanpg59","150.0","java, salesforce.com, heroku","2012-05-02",""
"1232","chiragmehta84","500.0","Salesforce.com,","2011-11-16",""
"1217","chiragmehta84","250.0","Salesforce.com,","2011-10-28",""
"1316","chiragmehta84","1250.0","Salesforce.com,","2011-12-14",""
"1419","chiragmehta84","350.0","javascript, salesforce.com","2012-04-05",""
"1390","chiragmehta84","1250.0","salesforce.com","2012-03-14",""
"1504","chok68","1000.0","html5, salesforce.com, mobile, ios","2012-06-07",""
"1494","chok68","1500.0","javascript, salesforce.com, mobile","2012-05-25",""
"1507","chok68","500.0","html5, salesforce.com, mobile, ios","2012-06-01",""
"1400","chrinder","100.0","salesforce.com","2012-03-21",""
"1436","christophertye","25.0","","",""
"1124","chriswoolcott","750.0","Salesforce.com,Other,","2011-06-17",""
"1102","chriswoolcott","500.0","Salesforce.com,Twilio,","2011-05-17",""
"1120","chriswoolcott","100.0","Cloud Foundry,","2011-06-23","cloudfoundry"
"1211","ckeene","1500.0","Java,Cloud Foundry,Ruby,","2011-10-20","cloudfoundry"
"1102","clintslee","500.0","Salesforce.com,Twilio,","2011-05-17",""
"1434","cloudchallenger","150.0","salesforce.com","2012-04-26",""
"1443","cloudchallenger","100.0","salesforce.com","2012-04-13",""
"1475","cloudchallenger","100.0","salesforce.com","2012-04-30",""
"1504","cloudchallenger","500.0","html5, salesforce.com, mobile, ios","2012-06-07",""
"1509","cloudchallenger","250.0","salesforce.com","2012-06-08",""
"1500","cloudchallenger","50.0","javascript","2012-05-29",""
"1507","cloudchallenger","500.0","html5, salesforce.com, mobile, ios","2012-06-01",""
"1483","cloudchallenger","100.0","salesforce.com","2012-05-16",""
"1465","cloudchallenger","150.0","salesforce.com","2012-05-09",""
"1482","cloudchallenger","150.0","salesforce.com","2012-05-14",""
"1470","cloudchallenger","1000.0","salesforce.com, google","2012-05-14",""
"1170","cloudrockerz","250.0","Salesforce.com,Google,","2011-09-08",""
"1411","CloudSpeaker","100.0","","",""
"1482","Corycowgill","150.0","salesforce.com","2012-05-14",""
"1118","Corycowgill","750.0","Google,Salesforce.com,JavaScript,","2011-06-08",""
"1361","Corycowgill","500.0","salesforce.com","2012-02-06",""
"1218","crysaro","250.0","Google,AWS,","2011-11-21",""
"1493","d1b1","300.0","javascript","2012-05-22",""
"1084","dancinllama","250.0","Salesforce.com,Google,","2011-04-11",""
"1375","darthdeus","250.0","ruby, cloud foundry, heroku","2012-02-17","cloudfoundry"
"1362","darthdeus","500.0","aws","2012-02-08",""
"1335","darthdeus","500.0","ruby","2012-01-05",""
"1400","dev401has","500.0","salesforce.com","2012-03-21",""
"1319","dev401has","750.0","Salesforce.com,","2011-12-13",""
"1352","dev401has","50.0","javascript, salesforce.com","2012-01-19",""
"1231","dhanaraj0","500.0","Google,","2011-12-08",""
"1195","dineshdhoom","250.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1336","dkrishnaprasad","1500.0","Google,","2011-12-17",""
"1340","dkrishnaprasad","300.0","other","2012-01-19",""
"1368","dquick","50.0","salesforce.com","2012-02-21",""
"1202","dubeynikhileshs","200.0","Mobile,","2011-10-20",""
"1216","dubeynikhileshs","750.0","Mobile,Other,","2011-10-20",""
"1404","dubeynikhileshs","250.0","mobile, salesforce.com","2012-03-23",""
"1416","dubeynikhileshs","250.0","html5, mobile","2012-03-27",""
"1428","dubeynikhileshs","1000.0","mobile","2012-04-13",""
"1458","dubeynikhileshs","1750.0","ios, salesforce.com, other","2012-05-04",""
"1423","dubeynikhileshs","500.0","google","2012-05-11",""
"1194","dwsmith","250.0","Salesforce.com,","2011-09-30",""
"1367","eadlam","150.0","javascript","2012-02-13",""
"1217","eadlam","250.0","Salesforce.com,","2011-10-28",""
"1113","eadlam","500.0","Google,","2011-06-01",""
"1493","eadlam","200.0","javascript","2012-05-22",""
"1366","eadlam","500.0","google, java, python","2012-02-09",""
"1318","elukaweski","2000.0","Google,Salesforce.com,","2011-12-05",""
"1355","elukaweski","1500.0","google, salesforce.com","2012-02-03",""
"1452","elukaweski","200.0","google, other","2012-05-21",""
"1352","emptist","50.0","javascript, salesforce.com","2012-01-19",""
"1417","Engelbert","1500.0","salesforce.com","2012-04-04",""
"1505","enjoylife","500.0","salesforce.com","2012-05-30",""
"1410","eszulc","500.0","salesforce.com","2012-03-29",""
"1380","fabianoff","250.0","salesforce.com","2012-03-05",""
"1400","florianhoehn","100.0","salesforce.com","2012-03-21",""
"1229","forcebewithyou","1000.0","Salesforce.com,","2011-12-08",""
"1482","forcedigger","150.0","salesforce.com","2012-05-14",""
"1477","forcedigger","250.0","salesforce.com, javascript","2012-05-07",""
"1194","forcetree","250.0","Salesforce.com,","2011-09-30",""
"1168","forcetree","150.0","Salesforce.com,","2011-08-24",""
"1427","forcexperts","500.0","salesforce.com","2012-04-06",""
"1482","forcexperts","150.0","salesforce.com","2012-05-14",""
"1426","forcexperts","750.0","salesforce.com","2012-04-11",""
"1470","forcexperts","1000.0","salesforce.com, google","2012-05-14",""
"1094","fractastical","700.0","Salesforce.com,JavaScript,","2011-04-26",""
"1115","fractastical","200.0","Salesforce.com,","2011-06-08",""
"1067","fractastical","500.0","Google,Salesforce.com,AWS,Heroku,Node.JS,","2011-03-15",""
"1409","fractastical","250.0","javascript, salesforce.com","2012-03-28",""
"1114","fractastical","200.0","Heroku,AWS,Ruby,","2011-06-03",""
"1069","fractastical","1000.0","Salesforce.com,Google,","2011-03-28",""
"1110","fractastical","400.0","Salesforce.com,","2011-06-19",""
"1156","gackerjr","1000.0","Salesforce.com,","2011-08-09",""
"1500","gauravs23","150.0","javascript","2012-05-29",""
"1203","ghanshyamyadav","750.0","Google,","2011-10-20",""
"1497","gizmoabhinav","100.0","","",""
"1114","gregr","400.0","Heroku,AWS,Ruby,","2011-06-03",""
"1316","helperyadav","150.0","Salesforce.com,","2011-12-14",""
"1197","helperyadav","750.0","Twilio,Salesforce.com,","2011-10-03",""
"1187","helperyadav","750.0","Salesforce.com,","2011-09-19",""
"1184","helperyadav","250.0","Salesforce.com,","2011-09-19",""
"1122","helperyadav","1000.0","Salesforce.com,Other,","2011-06-17",""
"1153","helperyadav","750.0","Salesforce.com,","2011-08-04",""
"1237","helperyadav","500.0","Salesforce.com,","2011-12-14",""
"1194","helperyadav","250.0","Salesforce.com,","2011-09-30",""
"1412","helperyadav","100.0","salesforce.com","2012-04-03",""
"1160","helperyadav","750.0","Salesforce.com,Google,Other,","2011-08-10",""
"1353","hirday","250.0","salesforce.com, java","2012-01-27",""
"1352","hirday","150.0","javascript, salesforce.com","2012-01-19",""
"1223","hirday","25.0","Salesforce.com,Other,","2011-11-16",""
"1208","hirday","250.0","Salesforce.com,","2011-10-24",""
"1205","hirday","250.0","Salesforce.com,","2011-10-05",""
"1326","hirday","250.0","Salesforce.com,","2011-12-15",""
"1218","hirday","500.0","Google,AWS,","2011-11-21",""
"1368","HulslaJC","200.0","salesforce.com","2012-02-21",""
"1389","idev42","100.0","","2012-02-27",""
"1517","ivanmel","500.0","salesforce.com","2012-06-05",""
"1399","ivanmel","3000.0","javascript, salesforce.com","2012-03-22",""
"1407","jaipandya","1000.0","box","2012-04-05",""
"1444","jaipandya","750.0","ruby","2012-04-27",""
"1500","jaipandya","150.0","javascript","2012-05-29",""
"1179","jazzyrocksr","750.0","salesforce.com","2012-04-26",""
"1509","jazzyrocksr","350.0","salesforce.com","2012-06-08",""
"1456","jazzyrocksr","250.0","java, salesforce.com, heroku","2012-05-02",""
"1483","jazzyrocksr","250.0","salesforce.com","2012-05-16",""
"1443","jazzyrocksr","250.0","salesforce.com","2012-04-13",""
"1400","jazzyrocksr","100.0","salesforce.com","2012-03-21",""
"1385","jazzyrocksr","750.0","salesforce.com","2012-03-09",""
"1187","jazzyrocksr","250.0","Salesforce.com,","2011-09-19",""
"1168","jazzyrocksr","250.0","Salesforce.com,","2011-08-24",""
"1167","jazzyrocksr","500.0","Salesforce.com,","2011-08-18",""
"1500","jiren","150.0","javascript","2012-05-29",""
"1360","joachim","500.0","heroku, salesforce.com, google, cloud foundry, mobile","2012-02-07","cloudfoundry"
"1372","joachim","1250.0","box, mobile","2012-03-12",""
"1414","JoeEmison","1000.0","aws","2012-04-26",""
"1100","joeferraro","2000.0","Salesforce.com,Mobile,","2011-05-19",""
"1087","Joeyqchan","100.0","Other,Salesforce.com,JavaScript,","2011-04-04",""
"1194","Joeyqchan","250.0","Salesforce.com,","2011-09-30",""
"1124","Joeyqchan","250.0","Salesforce.com,Other,","2011-06-17",""
"1125","Joeyqchan","1000.0","Salesforce.com,Other,","2011-06-08",""
"1353","jordanbaucke","1000.0","salesforce.com, java","2012-01-27",""
"1278","jordanbaucke","1000.0","Salesforce.com,Other,","2011-11-28",""
"1393","jsjohnst","100.0","","",""
"1477","JustinLau","500.0","salesforce.com, javascript","2012-05-07",""
"1442","JustinLau","200.0","other","2012-04-18",""
"1500","JustinLau","150.0","javascript","2012-05-29",""
"1459","JustinLau","200.0","salesforce.com","2012-04-19",""
"1415","JustinLau","100.0","","",""
"1186","Kenji776","1000.0","Salesforce.com,","2011-09-22",""
"1135","Kenji776","500.0","Salesforce.com,Other,","2011-07-05",""
"1194","Kenji776","750.0","Salesforce.com,","2011-09-30",""
"1387","Kenji776","250.0","","",""
"1412","Kenji776","100.0","salesforce.com","2012-04-03",""
"1345","Kenji776","500.0","salesforce.com, javascript, google","2012-01-20",""
"1208","Kenji776","750.0","Salesforce.com,","2011-10-24",""
"1230","Kenji776","2000.0","Salesforce.com,Google,Heroku,Cloud Foundry,","2011-11-14","cloudfoundry"
"1370","Kenji776","1000.0","java, salesforce.com, ruby, cloud foundry, heroku","2012-02-13","cloudfoundry"
"1367","Kenji776","100.0","javascript","2012-02-13",""
"1317","Kenji776","1250.0","Salesforce.com,Other,","2011-12-01",""
"1358","Kenji776","1500.0","salesforce.com","2012-02-02",""
"1359","Kenji776","250.0","salesforce.com, mobile, google, cloud foundry, heroku","2012-02-03","cloudfoundry"
"1345","Kenji776","250.0","salesforce.com, javascript, google","2012-01-20",""
"1387","Kenji776","1250.0","salesforce.com, mobile","2012-03-08",""
"1165","Kenji776","250.0","Salesforce.com,Google,Cloud Foundry,Heroku,AWS,","2011-08-24","cloudfoundry"
"1094","Kenji776","300.0","Salesforce.com,JavaScript,","2011-04-26",""
"1184","Kenji776","500.0","Salesforce.com,","2011-09-19",""
"1106","Kenji776","2500.0","JavaScript,","2011-05-19",""
"1163","Kenji776","2000.0","Heroku,Salesforce.com,","2011-08-18",""
"1142","Kenji776","500.0","Salesforce.com,Other,Twilio,Mobile,Heroku,Google,","2011-08-04",""
"1115","Kenji776","400.0","Salesforce.com,","2011-06-08",""
"1143","Kenji776","1000.0","Other,Salesforce.com,","2011-08-04",""
"1154","Kenji776","1000.0","Salesforce.com,","2011-08-04",""
"1157","Kenji776","2000.0","Salesforce.com,Heroku,Ruby,Cloud Foundry,","2011-08-08","cloudfoundry"
"1132","Kenji776","1200.0","Salesforce.com,","2011-07-06",""
"1445","khushbu16","25.0","","",""
"1495","KnowledgeLover","300.0","javascript","2012-05-30",""
"1505","KnowledgeLover","250.0","salesforce.com","2012-05-30",""
"1456","KnowledgeLover","150.0","java, salesforce.com, heroku","2012-05-02",""
"1413","KnowledgeLover","750.0","salesforce.com, twilio","2012-04-18",""
"1400","KnowledgeLover","250.0","salesforce.com","2012-03-21",""
"1093","knthornt","350.0","Salesforce.com,","2011-04-21",""
"1105","knthornt","500.0","Salesforce.com,","2011-05-20",""
"1064","knthornt","50.0","Salesforce.com,Google,AWS,Heroku,Node.JS,Mobile,","2011-03-15",""
"1099","knthornt","350.0","Salesforce.com,Google,","2011-05-04",""
"1320","kristinalim","25.0","","",""
"1205","kswiggum","1000.0","Salesforce.com,","2011-10-05",""
"1087","kswiggum","250.0","Other,Salesforce.com,JavaScript,","2011-04-04",""
"1084","kswiggum","500.0","Salesforce.com,Google,","2011-04-11",""
"1080","kylemroche","2000.0","Salesforce.com,Mobile,","2011-04-14",""
"1116","kzer95","1500.0","Google,Java,","2011-06-27",""
"1114","kzer95","100.0","Heroku,AWS,Ruby,","2011-06-03",""
"1163","kzer95","500.0","Heroku,Salesforce.com,","2011-08-18",""
"1202","kzer95","500.0","Mobile,","2011-10-20",""
"1416","kzer95","1000.0","html5, mobile","2012-03-27",""
"1203","kzer95","300.0","Google,","2011-10-20",""
"1231","kzer95","1000.0","Google,","2011-12-08",""
"1157","kzer95","500.0","Salesforce.com,Heroku,Ruby,Cloud Foundry,","2011-08-08","cloudfoundry"
"1341","kzer95","500.0","other","2012-01-30",""
"1379","kzer95","5000.0","mobile, box","2012-03-09",""
"1225","kzer95","3000.0","Google,","2011-11-21",""
"1088","laytro","50.0","Salesforce.com,Google,AWS,Heroku,Node.JS,Mobile,Twilio,","2011-06-09",""
"1232","lazybaer","100.0","Salesforce.com,","2011-11-16",""
"1232","lazybaer","100.0","Salesforce.com,","2011-11-16",""
"1364","lizconlan","100.0","heroku, google, ruby, cloud foundry, salesforce.com","2012-02-21","cloudfoundry"
